minute,kwatt
1,1.2247
2,1.2737
3,0.9183
4,0.8917
5,0.9489
6,0.7829
7,0.7232
8,1.1359
9,1.2046
10,1.1583
11,1.177
12,1.204
13,1.1856
14,1.2289
15,1.2042
16,1.2475
17,1.2176
18,1.2729
19,1.2686
20,1.299
21,1.1797
22,0.9249
23,0.821
24,0.8547
25,1.2451
26,1.2459
27,1.2375
28,1.2403
29,1.2378
30,1.2588
31,1.2706
32,1.2679
33,1.2742
34,1.279
35,1.2729
36,1.272
37,1.2703
38,1.2731
39,1.2819
40,1.3601
41,1.2981
42,1.2747
43,1.2769
44,1.2869
45,1.2642
46,1.2722
47,1.4078
48,1.3773
49,1.2941
50,1.2793
51,1.2731
52,1.3067
53,1.3096
54,1.3255
55,1.4192
56,1.335
57,1.3762
58,1.3393
59,1.383
60,1.293
61,1.4364
62,1.414
63,1.346
64,1.148
65,1.1412
66,1.2226
67,1.3433
68,1.3521
69,1.3333
70,1.3496
71,1.4076
72,1.3374
73,1.2493
74,1.2568
75,1.3224
76,1.4079
77,1.533
78,1.3069
79,1.2941
80,1.3481
81,1.3542
82,1.2417
83,1.2347
84,1.2705
85,1.316
86,1.2965
87,1.3211
88,1.3975
89,1.3975
90,1.3677
91,1.3254
92,1.3309
93,1.3193
94,1.3607
95,1.3475
96,1.3409
97,1.3023
98,1.3371
99,1.3653
100,1.2352
101,1.0765
102,0.9946
103,1.0249
104,0.9906
105,1.2345
106,1.2716
107,1.2321
108,1.2463
109,1.2793
110,1.2967
111,1.2911
112,1.3017
113,1.3261
114,1.3682
115,1.2637
116,1.7116
117,2.0556
118,1.526
119,2.0117
120,1.6059
121,1.6692
122,1.3262
123,1.3246
124,1.3204
125,1.2844
126,1.2753
127,1.2677
128,1.2713
129,1.2711
130,1.2664
131,1.2616
132,1.261
133,1.2644
134,1.2602
135,1.2567
136,1.2514
137,1.2355
138,1.2341
139,1.2403
140,1.2314
141,1.2418
142,1.262
143,1.2642
144,1.2555
145,1.244
146,1.2406
147,1.234
148,1.232
149,1.2311
150,1.2273
151,1.2266
152,1.2348
153,1.2496
154,1.2831
155,1.2958
156,1.2924
157,1.2959
158,1.2811
159,1.2753
160,1.2684
161,1.2605
162,1.2515
163,1.2505
164,1.2537
165,1.2567
166,1.2555
167,1.2429
168,1.2306
169,1.2297
170,1.2223
171,1.2077
172,1.1999
173,1.1912
174,1.1913
175,1.2027
176,1.2086
177,1.2015
178,1.1994
179,1.1956
180,1.1906
181,1.1829
182,1.1716
183,1.157
184,1.1448
185,1.1315
186,1.1207
187,1.1017
188,1.0795
189,1.0778
190,1.0842
191,1.0908
192,1.0944
193,1.1098
194,1.1201
195,1.1257
196,1.1233
197,1.1172
198,1.1132
199,1.1063
200,1.1113
201,1.1092
202,1.1056
203,1.0954
204,1.0856
205,1.079
206,1.0702
207,1.0544
208,1.043
209,1.048
210,1.0539
211,1.0537
212,1.0446
213,1.04
214,1.0373
215,1.0243
216,1.0117
217,1.0031
218,0.9996
219,1.0053
220,1.0151
221,1.0132
222,1.0146
223,1.0061
224,0.9921
225,0.9852
226,0.9774
227,0.9508
228,0.8334
229,0.6635
230,0.7875
231,0.7699
232,0.8014
233,0.9439
234,0.9408
235,0.889
236,0.2616
237,0.1121
238,0.1225
239,0.1488
240,0.4024
241,0.3906
242,0.5544
243,0.8673
244,0.6917
245,0.3453
246,0.1294
247,0.2839
248,0.0981
249,0.1093
250,0.1161
251,0.1145
252,0.0966
253,0.0597
254,0.0459
255,1.284
256,1.2678
257,1.2458
258,1.3577
259,0.9801
260,0.9058
261,0.7896
262,0.7496
263,0.6529
264,0.1455
265,0.137
266,0.1122
267,0.1095
268,0.1085
269,0.1081
270,0.1083
271,0.1616
272,0.1078
273,0.1076
274,0.1486
275,0.4954
276,0.1167
277,0.1037
278,0.1031
279,0.1243
280,0.1442
281,0.1028
282,0.101
283,0.186
284,0.1822
285,0.0995
286,0.0994
287,0.1093
288,0.1155
289,0.1107
290,0.0969
291,0.0937
292,0.1409
293,0.2158
294,0.3227
295,0.3867
296,0.2028
297,0.2153
298,0.3892
299,0.3106
300,0.2633
301,0.3197
302,0.2047
303,0.0905
304,0.1393
305,0.1667
306,0.1387
307,0.1265
308,0.1385
309,0.1183
310,0.1231
311,0.1353
312,0.182
313,0.1844
314,0.1791
315,0.1525
316,0.1103
317,0.2144
318,0.2186
319,0.1991
320,0.1783
321,0.1445
322,0.1114
323,0.126
324,0.2017
325,0.1911
326,0.1652
327,0.134
328,0.0883
329,0.0578
330,0.1227
331,0.1087
332,0.0863
333,0.0838
334,0.0791
335,0.0684
336,0.0604
337,0.0526
338,0.0442
339,0.0361
340,0.0377
341,0.0391
342,0.0535
343,0.0663
344,0.0762
345,0.0774
346,0.0809
347,0.0831
348,0.0804
349,0.0749
350,0.0664
351,0.0582
352,0.0543
353,0.0545
354,0.0582
355,0.058
356,0.0581
357,0.0583
358,0.0585
359,0.0579
360,0.0581
361,0.0579
362,0.0576
363,0.0578
364,0.056
365,0.0657
366,0.0837
367,0.0982
368,0.1357
369,0.1246
370,0.1427
371,0.1514
372,0.1411
373,0.14
374,0.14
375,0.1397
376,0.14
377,0.1406
378,0.1403
379,0.1404
380,0.1401
381,0.14
382,0.1403
383,0.1402
384,0.1403
385,0.1706
386,0.2883
387,0.2814
388,0.2779
389,0.276
390,0.2745
391,0.2735
392,0.2724
393,0.2715
394,0.2707
395,0.2713
396,0.2699
397,0.269
398,0.2686
399,0.268
400,0.2677
401,0.267
402,0.267
403,0.2666
404,0.2661
405,0.2657
406,0.2655
407,0.2646
408,0.2645
409,0.2639
410,0.2643
411,0.2687
412,0.2688
413,0.2686
414,0.2683
415,0.2672
416,0.2675
417,0.267
418,0.2656
419,0.2648
420,0.2636
421,0.2629
422,0.263
423,0.2619
424,0.2598
425,0.1447
426,0.1444
427,0.1444
428,0.1445
429,0.1446
430,0.1445
431,0.1442
432,0.1441
433,0.1445
434,0.1446
435,0.168
436,0.1801
437,0.8933
438,0.674
439,0.7884
440,0.5877
441,0.1857
442,0.1882
443,0.2513
444,0.1607
445,0.1694
446,0.1758
447,0.1918
448,0.2628
449,0.2623
450,0.2609
451,0.2607
452,0.2612
453,0.2601
454,0.2573
